Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
CVG,CVG,43,135,6,0.409712,0.471481,926.057946,0.107875,0.107875,0
EWR,EWR,72,225,5,0.435835,0.508488,650.895474,0.152555,0.152555,0
MEM,MEM,32,112,6,0.393299,0.44787,1326.207944,0.084117,0.084117,0
PIT,PIT,33,134,6,0.402985,0.458519,14.220386,0.099106,0.099106,0
SAT,SAT,30,114,5,0.410334,0.459414,133.25237,0.087041,0.087041,0
ORF,ORF,19,74,6,0.38599,0.431975,2.170648,0.063603,0.063603,0
RIC,RIC,18,74,6,0.378151,0.422716,0.547515,0.05829,0.05829,0
OKC,OKC,22,81,6,0.395315,0.443858,152.07607,0.064653,0.064653,2
MKE,MKE,28,121,5,0.411272,0.458488,18.122527,0.087561,0.087561,0
SMF,SMF,28,102,5,0.404494,0.452315,280.996067,0.067824,0.067824,2
CHS,CHS,20,69,6,0.371645,0.41716,3.262604,0.063116,0.063116,0
BNA,BNA,46,162,6,0.409401,0.473025,1026.791668,0.117025,0.117025,0
DAY,DAY,16,64,6,0.381895,0.425957,0.407065,0.054636,0.054636,0
SEA,SEA,75,310,4,0.48474,0.536574,18159.614873,0.123904,0.123904,2
SLC,SLC,85,256,5,0.472855,0.534938,8437.042981,0.129666,0.129666,2
SDF,SDF,23,83,6,0.38961,0.438302,2.671848,0.075501,0.075501,0
